,AUTHOR,TITLE,GENRE,PUB_DATE,ISBN,FILE_NAME
284,Skip Archimedes,Living Forever Young,Nonfiction,2018-07-17,9781786781369,0284.txt
285,Ganga White,Yoga Beyond Belief,Nonfiction,2007-01-02,9781556436468,0285.txt
286,Rene Colato Lainez,The Tooth Fairy Meets El Raton Perez,Children’s Books,2010-03-23,9781582462967,0286.txt
287,Guy Himber,Steampunk LEGO,Nonfiction,2014-11-07,9781593275280,0287.txt
288,Denis Markell,Click Here to Start (A Novel),Children’s Books,2017-08-01,9781101931905,0288.txt
289,Hanna Martine,The Good Chase,Fiction,2014-12-02,9780425267523,0289.txt
290,Catharine O'Neill,Annie and Simon: The Sneeze and Other Stories,Children’s Books,2015-02-24,9780763677886,0290.txt
291,Joanne B. Ciulla,The Working Life,Nonfiction,2001-03-20,9780609807378,0291.txt
292,Garry Wills,Bomb Power,Nonfiction,2011-01-25,9780143118688,0292.txt
293,Arthur Japin,Director's Cut,Fiction,2010-02-09,9780307593115,0293.txt
294,Joshua Halberstam,Everyday Ethics,Nonfiction,1994-04-01,9780140165586,0294.txt
295,John Birmingham,Angels of Vengeance,Fiction,2013-02-26,9780345502940,0295.txt
296,DK,Baby Touch and Feel: Trucks,Children’s Books,2008-02-18,9780756634650,0296.txt
297,Jennifer Lynn Barnes,Tattoo,Teen & Young Adult,2007-01-09,9780385733472,0297.txt
298,Andrew Vachss,Vachss: Underground,Fiction,2014-11-11,9781621159346,0298.txt
299,Candlewick Press,Venice: A 3D Keepsake Cityscape,Children’s Books,2014-09-23,9780763671860,0299.txt
300,Frank Haskell,Gettysburg,Nonfiction,1992-08-01,9780553298321,0300.txt
301,"Bruce E. Hunsberger, Bob Altemeyer",Atheists,Nonfiction,2006-06-01,9781591024132,0301.txt
302,Tony Johnston,The Cat With Seven Names,Children’s Books,2013-08-01,9781580893817,0302.txt
303,Rod Pyle,Curiosity,Nonfiction,2014-07-15,9781616149338,0303.txt
304,M. Leighton,Up to Me,Fiction,2013-08-06,9780425269855,0304.txt
305,Lewis Helfand,The Industrial Revolution,Teen & Young Adult,2017-06-06,9789381182284,0305.txt
306,Lindsey Craig,Farmyard Beat: Read & Listen Edition,Children’s Books,2011-06-14,9780375980732,0306.txt
307,Roy MacGregor,The Home Team,Nonfiction,2007-04-03,9780143053361,0307.txt
308,Jodi Thomas,The Texan's Wager,Fiction,2002-10-29,9780515134001,0308.txt
309,Nancy Mitford,The Sun King,Nonfiction,2012-05-08,9781590174913,0309.txt
310,Sydney Landon,The One For Me,Fiction,2016-02-02,9780451476227,0310.txt
311,Geronimo Stilton,Geronimo Stilton #9: A Fabumouse Vacation for Geronimo,Children’s Books,2007-01-23,9780739355527,0311.txt
312,Alan Lightman,Screening Room,Nonfiction,2016-02-23,9780307739841,0312.txt
313,Paul Grangaard,Grangaard Strategy: Invest Right During Retirement,Fiction,2002-12-31,9781440673139,0313.txt
314,Shirow Masamune,The Ghost in the Shell 1 Deluxe Edition,Fiction,2017-02-21,9781632364210,0314.txt
315,Mark Chiusano,Marine Park,Fiction,2014-07-29,9780143124603,0315.txt
316,Tom Tomorrow,Crazy Is The New Normal,Humor,2016-10-18,9781631407000,0316.txt
317,Leslie Larson,Slipstream,Fiction,2006-05-16,9780307345868,0317.txt
318,"Tom Clancy, Steve Pieczenik, Jeff Rovin",Line of Control,Fiction,2001-06-01,9781101003671,0318.txt
319,Major Garrett,The Enduring Revolution,Nonfiction,2005-02-01,9780307237323,0319.txt
320,Adam-Troy Castro,Gustav Gloom and the Cryptic Carousel #4,Children’s Books,2015-08-11,9780448487199,0320.txt
321,Robert Crais,L.A. Requiem,Fiction,2000-02-01,9780345434470,0321.txt
322,"Jonathan Kellerman, Jesse Kellerman",The Golem of Paris,Fiction,2016-09-06,9780515156089,0322.txt
323,Bonnie Bryant,Broken Horse,Children’s Books,2013-02-27,9780307825605,0323.txt
324,Joe Henry,Lime Creek,Fiction,2011-06-14,9780679605034,0324.txt
325,Pamela Gien,The Syringa Tree,Fiction,2007-10-09,9780375759109,0325.txt
326,Caroline Fardig,Southern Discomfort,Fiction,2018-03-06,9781524797874,0326.txt
327,Nicola Graimes,The Low-Sugar Cookbook,Nonfiction,2014-09-23,9781848999756,0327.txt
328,John Ramsey Miller,The Last Family,Fiction,1997-07-01,9780553574968,0328.txt
329,Corey Donaldson,Don't You Dare Have Kids Until You Read This!,Nonfiction,2007-12-18,9780307420619,0329.txt
330,"Masatoshi Yoshida, Yoshikatsu Nakamura",Kodansha's Furigana English-Japanese Dictionary,Nonfiction,2013-02-01,9781568365060,0330.txt
331,Graham Salisbury,Calvin Coconut: The Zippy Fix,Children’s Books,2010-10-12,9780375846014,0331.txt
332,John Ramsey Miller,Smoke & Mirrors,Fiction,2008-03-25,9780440243106,0332.txt
333,Ann Purser,Theft on Thursday,Fiction,2006-02-07,9780425207475,0333.txt
334,Takuma Morishige,"My Neighbor Seki, 1",Humor,2015-01-13,9781939130969,0334.txt
335,Eiji Otsuka,Kurosagi Corpse Delivery Service Volume 7,Fiction,2014-12-17,9781630084349,0335.txt
336,Tony Abbott,The Secrets of Droon: Volume 2,Children’s Books,2005-07-12,9780307245250,0336.txt
337,Ian Slater,WWIII:  Force Of Arms,Fiction,1995-03-01,9780345470409,0337.txt
338,Hanif Kureishi,The Buddha of Suburbia,Fiction,1991-05-01,9780140131680,0338.txt
339,Erika Robuck,Call Me Zelda,Fiction,2013-05-07,9780451239921,0339.txt
340,"Eilat Negev, Yehuda Koren",The First Lady of Fleet Street,Nonfiction,2012-02-28,9780345532381,0340.txt
341,DK,The Science Book,Nonfiction,2014-07-21,9781465419651,0341.txt
342,Gary Moring,The Complete Idiot's Guide to Theories of the Universe,Nonfiction,2001-12-01,9781440695728,0342.txt
343,Kaye Morgan,Death by Sudoku,Fiction,2007-07-03,9780425216408,0343.txt
344,K. Ward Cummings,Partner to Power,Nonfiction,2018-02-27,9781633883154,0344.txt
345,Elia Kazan,Beyond The Aegean,Fiction,2012-03-21,9780307807328,0345.txt
346,Robert Wright,Our Man in Tehran,Nonfiction,2011-01-11,9781590514139,0346.txt
347,"Paul Rudish, Scott Tipton","Mickey Mouse: Shorts, Season One",Fiction,2017-01-24,9781631408144,0347.txt
348,Dave Stevens,The Rocketeer: The Complete Adventures,Fiction,2015-03-31,9781631402272,0348.txt
349,James Warhola,Uncle Andy's Cats,Children’s Books,2009-07-09,9780399251801,0349.txt
350,Sandra Chastain,For Love of Lacey,Fiction,2013-10-14,9780345541772,0350.txt
351,"Sylvia Browne, Lindsay Harrison","Past Lives, Future Healing",Nonfiction,2002-06-01,9780451205971,0351.txt
352,Nancy Springer,The Case of the Cryptic Crinoline,Children’s Books,2011-11-10,9780142416907,0352.txt
353,Catherine Fisher,Relic Master Part 2,Teen & Young Adult,2013-06-13,9780142426869,0353.txt
354,Charles Santore,The Silk Princess,Children’s Books,2011-06-22,9780375982989,0354.txt
355,Ann Hood,Leonardo da Vinci #9,Children’s Books,2014-07-01,9780448467696,0355.txt
356,Maya Angelou,Rainbow in the Cloud,Nonfiction,2014-10-28,9780812996456,0356.txt
357,Random House,Thomas and the Piglets (Thomas & Friends),Children’s Books,2017-09-05,9781524716578,0357.txt
358,Hubert Wolf,The Nuns of Sant'Ambrogio,Nonfiction,2016-01-12,9780804169806,0358.txt
359,Jamie Bartlett,The Dark Net,Nonfiction,2016-05-10,9781612195216,0359.txt
360,Christopher Plummer,In Spite of Myself,Nonfiction,2012-05-01,9780345803221,0360.txt
361,Marcus Sedgwick,Floodland,Children’s Books,2002-07-09,9780807210086,0361.txt
362,Marc Brown,Arthur Tricks the Tooth Fairy,Children’s Books,1998-02-03,9780679884644,0362.txt
363,Fred Gallagher,Megatokyo Omnibus Volume 1,Fiction,2014-05-20,9781595828231,0363.txt
364,Archie Superstars,The Best of Archie Comics Book 3,Children’s Books,2013-09-03,9781936975617,0364.txt
365,Jessica Clare,The Billionaire of Bluebonnet,Fiction,2012-09-18,9781101611036,0365.txt
366,Bruce Hiscock,The Big Storm,Children’s Books,2008-08-01,9781590786000,0366.txt
367,Koutarou Sekine,Ninja Slayer Kills 3,Fiction,2016-09-20,9781632360885,0367.txt
368,"Sara Deseran, Joe Hargrave, Antelmo Faria, Mike Barrow",Tacolicious,Nonfiction,2014-09-02,9781607745624,0368.txt
369,Vita Sackville-West,All Passion Spent,Classics,2017-07-11,9780525433972,0369.txt
370,Alice Adams,TO SEE YOU AGAIN,Fiction,2011-06-08,9780307798299,0370.txt
371,Jim C. Hines,Unbound,Fiction,2016-01-05,9780756409692,0371.txt
372,Jeramy Clark,"He's HOT, She's HOT",Teen & Young Adult,2001-01-16,9781578564125,0372.txt
373,Maggie Robinson,In the Arms of the Heiress,Fiction,2013-07-02,9780425265819,0373.txt
374,Les Beletsky,Global Birding,Nonfiction,2010-09-21,9781426206405,0374.txt
375,Mary Daheim,The Alpine Winter,Fiction,2013-01-29,9780345502605,0375.txt
376,Brandon T. Snider,What Would Captain Picard Do?,Children’s Books,2017-05-16,9780515157147,0376.txt
377,Karen Robards,Nobody's Angel,Fiction,1992-11-01,9780440208280,0377.txt
378,"Josie Brown, Martin Brown",The Complete Idiot's Guide to Finding Mr. Right,Nonfiction,2009-09-01,9781101133590,0378.txt
379,Hugh Prather,Notes to Myself,Nonfiction,1983-10-10,9780553273823,0379.txt
380,"Tony Dove, Ginger Woolridge",Essential Native Trees and Shrubs for the Eastern United States,Nonfiction,2018-02-06,9781623545031,0380.txt
381,Eliza Minot,The Brambles,Fiction,2007-06-12,9781400077526,0381.txt
382,Val Brelinski,The Girl Who Slept with God,Fiction,2016-07-05,9780143109433,0382.txt
383,Stephanie Spinner,Alex the Parrot: No Ordinary Bird,Children’s Books,2012-10-09,9780307975676,0383.txt
384,John Berger,To the Wedding,Fiction,1996-03-19,9780679767770,0384.txt
385,David A. Kelly,MVP #3: The Football Fumble,Children’s Books,2016-09-06,9780553513257,0385.txt
386,Edmund White,The Beautiful Room Is Empty,Fiction,1994-10-04,9780679755401,0386.txt
387,Elizabeth Winthrop,The Battle for the Castle,Children’s Books,1994-11-01,9780440409427,0387.txt
388,Lauren Layne,Irresistibly Yours,Fiction,2015-10-06,9781101884843,0388.txt
389,Nick Dowson,Tigress,Children’s Books,2007-04-10,9780763633141,0389.txt
390,Roger Steer,George Mueller,Nonfiction,2000-03-07,9780877883043,0390.txt
391,DK,The Practical Naturalist,Nonfiction,2010-05-17,9780756658991,0391.txt
392,"Adam Gamble, Mark Jasper",Count To Sleep St. Louis,Children’s Books,2015-04-22,9781602193437,0392.txt
393,Michael Moorcock,Elric: The Sleeping Sorceress,Fiction,2008-11-25,9780345498649,0393.txt
394,Alyssa Sheinmel,The Lucky Kind,Teen & Young Adult,2011-05-10,9780375898662,0394.txt
395,Kendra Bailey Morris,The Southern Slow Cooker,Nonfiction,2013-08-20,9781607745129,0395.txt
396,Erin McCarthy,Heart Breaker,Fiction,2016-05-17,9780425284599,0396.txt
397,Jean Marzollo,Soccer Sam,Children’s Books,1987-04-12,9780394884066,0397.txt
398,Eric R. Braverman,"Younger Brain, Sharper Mind",Nonfiction,2013-01-29,9781609619886,0398.txt
399,Random House,Max & His Friends/Snowball & the Flushed Pets (Secret Life of Pets),Children’s Books,2016-05-31,9780399554865,0399.txt
400,Kenneth Silverman,Lightning Man,Nonfiction,2010-04-07,9780307434371,0400.txt
401,Reginald Hill,Bones and Silence,Fiction,1991-06-01,9780440209355,0401.txt
402,Seanan McGuire,Chaos Choreography,Fiction,2016-03-01,9780756408138,0402.txt
403,"Denise George, Robert Child",The Lost Eleven,Nonfiction,2017-01-31,9781101987391,0403.txt
404,Richard Carlson,Shortcut through Therapy,Nonfiction,1995-04-01,9780452273832,0404.txt
405,Alex Milway,Pigsticks and Harold Lost in Time!,Children’s Books,2017-11-14,9780763681869,0405.txt
406,Andy Owens,Buffy the Vampire Slayer Season 8 Volume 6: Retreat,Fiction,2010-03-02,9781595824158,0406.txt
407,Hajime Isayama,Attack on Titan 12,Fiction,2014-04-29,9781612626789,0407.txt
408,Liz Mohn,The Heart of Business,Nonfiction,2005-05-24,9781400054626,0408.txt
409,"E.D. Hirsch, Jr.",What Your Third Grader Needs to Know,Nonfiction,2013-11-13,9780804180399,0409.txt
410,Lynn Flewelling,Shards of Time,Fiction,2014-04-01,9780345522313,0410.txt
411,"Jessica Fletcher, Donald Bain","Murder, She Wrote: Rum and Razors",Fiction,1995-04-01,9780451183835,0411.txt
412,Michel de Montaigne,The Essays,Classics,1994-05-03,9780140446029,0412.txt
413,"Andy Herald, Charlie Capen",The Guide to Baby Sleep Positions,Humor,2013-04-02,9780449819876,0413.txt
414,Lady Grace Cavendish,Betrayal,Children’s Books,2009-05-14,9780307536396,0414.txt
415,Patricia Polacco,"Thank You, Mr. Falker",Children’s Books,2012-04-12,9780399257629,0415.txt
416,Sarah Henstra,Mad Miss Mimic,Teen & Young Adult,2017-01-03,9780143192374,0416.txt
417,Michelle Schusterman,I Heart Band #1,Children’s Books,2014-01-09,9780448456836,0417.txt
418,Emma Holly,Breaking Midnight,Fiction,2009-07-07,9780425228678,0418.txt
419,Marilyn Kaye,Perfect Girls (Replica #4),Children’s Books,2013-09-25,9780804150101,0419.txt
420,Deborah Chancellor,DK Readers L3: Tiger Tales,Children’s Books,2000-04-19,9780789454232,0420.txt
421,Various,The Journey Prize Stories 25,Fiction,2013-10-08,9780771047374,0421.txt
422,Natsumi Ando,Arisa 9,Fiction,2012-10-02,9781612622408,0422.txt
423,Lee Goldberg,Mr. Monk Goes to the Firehouse,Fiction,2006-01-03,9780451217295,0423.txt
424,James Green,Death in the Haymarket,Nonfiction,2007-03-13,9781400033225,0424.txt
425,Charles Kupchan,The End of the American Era,Nonfiction,2003-11-11,9780375726590,0425.txt
426,"Elizabeth M. Carman, Neil J. Carman, Ph.D.","Cosmic Cradle, Revised Edition",Nonfiction,2013-04-16,9781583945520,0426.txt
427,"Paul Bew, Henry Patterson",The British State and the Ulster Crisis,Nonfiction,1985-11-01,9780860918158,0427.txt
428,National Geographic Kids,Angry Birds Explore the World!,Children’s Books,2014-07-08,9781426318108,0428.txt
429,Masatoshi Nakayama,"Best Karate, Vol.8",Nonfiction,2012-11-30,9781568364674,0429.txt
430,Anne Perry,Cain His Brother,Fiction,2010-01-26,9780345514028,0430.txt
431,Kiki Thorpe,Finding Tinker Bell #1: Beyond Never Land (Disney: The Never Girls),Children’s Books,2018-01-02,9780736435994,0431.txt
432,Marilyn Hilton,Full Cicada Moon,Children’s Books,2017-04-04,9780147516015,0432.txt
433,Sam Cabot,Blood of the Lamb,Fiction,2014-07-01,9780451466891,0433.txt
434,Dorothy Gallagher,How I Came Into My Inheritance,Nonfiction,2002-08-13,9781400033065,0434.txt
435,Mona Miller,A Very Busy Coloring Book (The World of Eric Carle),Children’s Books,2013-07-23,9780449816097,0435.txt
436,Maya Gottfried,Good Dog,Children’s Books,2013-11-27,9780307983510,0436.txt
437,Bernard-Henri Lévy,American Vertigo,Nonfiction,2007-04-10,9780812974713,0437.txt
438,Oh!Great,Air Gear 23,Fiction,2012-04-17,9781612620282,0438.txt
439,Leslie Alcock,Arthur's Britain,Nonfiction,2002-02-26,9780141390697,0439.txt
440,"Kay Arthur, David Lawson, BJ Lawson",Understanding Spiritual Gifts,Nonfiction,2010-07-20,9780307458704,0440.txt
441,Oliver Bowden,Assassin's Creed: Underworld,Fiction,2015-12-01,9780425279748,0441.txt
442,"Noel Gregory, James Horton, Michael Sanders, Roy Lang",Oil Painting Step-by-step,Nonfiction,2011-11-02,9781844486656,0442.txt
443,David Goodis,The Burglar,Fiction,2012-03-29,9781598534481,0443.txt
444,May Sinclair,Mary Olivier,Fiction,2002-06-30,9780940322868,0444.txt
445,Josias Semujanga,Origins of Rwandan Genocide,Nonfiction,2003-04-01,9781591020530,0445.txt
446,Philip Reeve,Oliver and the Sea Monkeys,Children’s Books,2016-07-12,9780385387897,0446.txt
447,Roddy Doyle,Paddy Clarke Ha Ha Ha,Fiction,1995-01-01,9780140233902,0447.txt
448,"Lawrence C. Vetter, Jr.",Never Without Heroes,Nonfiction,1996-06-30,9780804108072,0448.txt
449,Andrea Lee,Lost Hearts in Italy,Fiction,2007-05-22,9780812971132,0449.txt
450,Stan Sakai,Usagi Yojimbo Volume 26,Fiction,2016-04-13,9781621155348,0450.txt
451,Holly Morris,Adventure Divas,Humor,2006-10-31,9780375760631,0451.txt
452,Carmen Posadas,Little Indiscretions,Fiction,2005-07-12,9780812966312,0452.txt
453,Kathleen George,Fallen,Fiction,2004-06-29,9780440236641,0453.txt
454,Nikki Shannon Smith,The Little Christmas Elf,Children’s Books,2011-09-13,9780375873485,0454.txt
455,Loren Long,Otis and the Tornado,Children’s Books,2011-09-06,9780399254772,0455.txt
456,Mary Wollstonecraft,A Vindication of the Rights of Woman,Nonfiction,2006-05-30,9781101650820,0456.txt
457,Andrew Donkin,DK Readers L3: Disasters At Sea,Children’s Books,2001-01-17,9780789473813,0457.txt
458,Kristin Kladstrup,The Gingerbread Pirates Gift Edition,Children’s Books,2012-09-11,9780763662332,0458.txt
459,"Suvir Saran, Stephanie Lyness",Indian Home Cooking,Nonfiction,2004-08-31,9780609611012,0459.txt
460,Rachel Caine,Ghost Town,Teen & Young Adult,2011-04-05,9780451232915,0460.txt
461,Rick Yancey,The Extraordinary Adventures of Alfred Kropp,Teen & Young Adult,2006-01-10,9780307284501,0461.txt
462,Helene Siegel,Totally Salmon Cookbook,Nonfiction,2014-07-09,9780804153119,0462.txt
463,Jodi Picoult,Mercy,Fiction,1996-08-08,9781101549537,0463.txt
464,Frances Hodgson Burnett,A Little Princess,Classics,2002-02-26,9780142437018,0464.txt
465,Laura Deutsch,Writing from the Senses,Nonfiction,2014-05-13,9781611800449,0465.txt
466,Michael Ondaatje,Divisadero,Fiction,2008-04-22,9780307279323,0466.txt
467,Gregg Kreutz,Oil Painting Essentials,Nonfiction,2016-05-24,9780804185431,0467.txt
468,"Ralph Compton, Marcus Galloway",Straight Shooter,Fiction,2013-06-04,9780451240040,0468.txt
469,Belva Plain,Her Father's House,Fiction,2003-12-02,9780440235804,0469.txt
470,Louis L'Amour,El Canon Oscuro,Fiction,2008-10-28,9780553591958,0470.txt
471,Human Rights Watch,World Report 2013,Nonfiction,2013-02-19,9781609804824,0471.txt
472,"Stan Berenstain, Jan Berenstain",The Berenstain Bears' Dollars and Sense,Children’s Books,2001-01-23,9780375811241,0472.txt
473,Michael McGarrity,Hard Country,Fiction,2013-05-28,9780451417145,0473.txt
474,David Liss,The Coffee Trader,Fiction,2004-02-03,9780375760907,0474.txt
475,Sarah Webb,Ask Amy Green: Love and Other Drama-Ramas!,Teen & Young Adult,2013-08-27,9780763656898,0475.txt
476,Donald Spoto,Reluctant Saint,Nonfiction,2003-09-30,9780142196250,0476.txt
477,Lloyd Strayhorn,Numbers and You:  A Numerology Guide for Everyday Living,Nonfiction,1987-09-12,9780345345936,0477.txt
478,Potter Gift,Best of Summer Yearbook,Nonfiction,2017-04-18,9780451497765,0478.txt
479,Nathan Jendrick,Gym-Free and Ripped,Nonfiction,2011-08-02,9781615640997,0479.txt
480,Laura Ingalls Wilder,Laura Ingalls Wilder: The Little House Books Vol. 1 (LOA #229),Fiction,2012-08-30,9781598531602,0480.txt
481,Barbara Joosse,Sail Away Dragon,Children’s Books,2017-10-24,9780763673130,0481.txt
482,Anne Kha,Fabric Jewellery,Nonfiction,2015-07-20,9781782212416,0482.txt
483,Jonathan Lethem,Men and Cartoons,Fiction,2005-11-08,9781400076802,0483.txt
484,Lynn Kurland,If I Had You,Fiction,2000-10-01,9781101658314,0484.txt
485,Brooks Haxton,They Lift Their Wings to Cry,Classics,2008-06-03,9780307268457,0485.txt
486,Rachel Caine,Glass Houses,Teen & Young Adult,2006-10-03,9780451219947,0486.txt
487,J.M. Morris,The Lonely Places,Fiction,2008-12-18,9780307480644,0487.txt
488,J.R. Ward,Lover Revealed,Fiction,2009-09-09,9780451229687,0488.txt
489,Guillermo Martinez,The Oxford Murders,Fiction,2006-09-26,9780143037965,0489.txt
490,Amber Benson,The Witches of Echo Park,Fiction,2015-12-29,9780425282465,0490.txt
491,Peter Matthiessen,Men's Lives,Nonfiction,1988-01-12,9780394755601,0491.txt
492,Jonathan London,Froggy's Lemonade Stand,Children’s Books,2018-05-15,9781101999677,0492.txt
493,Emily Furia,The Big Book of Bicycling,Nonfiction,2010-12-07,9781605292823,0493.txt
494,Patricia J. Murphy,DK Adventures: Horse Club,Children’s Books,2013-12-23,9781465418111,0494.txt
495,Karyn Monk,The Prisoner,Fiction,2001-05-29,9780553577624,0495.txt
496,Patricia McKissack,Amistad,Children’s Books,2005-12-29,9780448439006,0496.txt
497,Elizabeth Vaughan,Warcry,Fiction,2011-05-03,9780425241523,0497.txt
498,DK,Skylanders Universe Chronicles,Children’s Books,2014-06-30,9781465421296,0498.txt
499,Mary Shelley,Frankenstein,Teen & Young Adult,2010-07-27,9789380028248,0499.txt
500,Various,Dark Horse Number Ones,Fiction,2017-04-11,9781506702964,0500.txt
501,Tim Jepson,"National Geographic Traveler: Italy, 5th Edition",Nonfiction,2017-01-03,9781426217036,0501.txt
502,Sterling North,Young Thomas Edison,Children’s Books,2009-03-19,9780142412107,0502.txt
503,Cordelia Edvardson,Burned Child Seeks the Fire,Nonfiction,1998-06-01,9780807070956,0503.txt
504,J. William Fulbright,The Arrogance of Power,Nonfiction,1967-01-23,9780812992625,0504.txt
505,Courtney Carbone,This Makes Me Silly,Children’s Books,2018-06-12,9781635650754,0505.txt
506,David A. Adler,Young Cam Jansen and the Substitute Mystery,Children’s Books,2006-07-20,9780142406601,0506.txt
507,"Steven Naifeh, Gregory White Smith",Van Gogh,Nonfiction,2012-12-04,9780375758973,0507.txt
508,DK Travel,DK Eyewitness Travel Guide Ireland,Nonfiction,2018-10-02,9781465471598,0508.txt
509,Kahlil Gibran,The Madman,Poetry,2011-06-14,9780307957788,0509.txt
510,Claudia Mills,Mason Dixon: Fourth-Grade Disasters,Children’s Books,2012-11-13,9780375872754,0510.txt
511,Craig Nelson,Finding True Love in a Man-Eat-Man World,Nonfiction,1996-01-01,9780440506898,0511.txt
512,Fraser Scarfe,How to Paint Atmospheric Landscapes in Acrylics,Nonfiction,2017-03-20,9781782212836,0512.txt
513,Emily Giffin,All We Ever Wanted,Fiction,2018-06-26,9780399178924,0513.txt
514,Jon Scieszka,"The Good, the Bad, and the Goofy #3",Children’s Books,2004-04-26,9780142400463,0514.txt
515,Patricia Briggs,Mercy Thompson: Homecoming,Fiction,2009-08-25,9780345509888,0515.txt
516,"Douglas Adams, Mark Carwardine",Last Chance to See,Nonfiction,1992-10-13,9780345371980,0516.txt
517,Carole Lexa Schaefer,Monkey and Elephant,Children’s Books,2013-04-09,9780763662615,0517.txt
518,Edith Kunhardt,Pompeii...Buried Alive!,Children’s Books,1987-10-12,9780394888668,0518.txt
519,Mary Oliver,Blue Horses,Poetry,2016-10-11,9780143127819,0519.txt
520,Sophie Kinsella,Shopaholic & Baby,Fiction,2007-12-26,9780385338714,0520.txt
521,Jane Yolen,Welcome to the Green House,Children’s Books,1997-04-14,9780698114456,0521.txt
522,Gwynne Dyer,Future: Tense,Nonfiction,2004-11-02,9780771029783,0522.txt
523,Melody Carlson,On My Own,Teen & Young Adult,2002-07-04,9781590520178,0523.txt
524,Peggy Anderson,Nurse,Nonfiction,2007-09-04,9780425217603,0524.txt
525,Kyriacos C. Markides,Gifts of the Desert,Nonfiction,2005-10-18,9780307885388,0525.txt
526,Erich Goode,The Paranormal,Nonfiction,2011-12-20,9781616144913,0526.txt
527,Jeffrey D. Sachs,The End of Poverty,Nonfiction,2006-02-28,9780143036586,0527.txt
528,Cheng Man-ch'ing  ,T'ai Chi Ch'uan,Nonfiction,1993-01-11,9780913028858,0528.txt
529,Tom Clancy,The Hunt for Red October (Movie Tie-In),Fiction,2018-08-07,9780440001027,0529.txt
530,April Smith,Home Sweet Home,Fiction,2017-11-14,9781101872376,0530.txt
531,John Marks,Fangland,Fiction,2008-01-29,9780143112532,0531.txt
532,"Michael Reaves, Steve Perry","Battle Surgeons: Star Wars Legends (Medstar, Book I)",Fiction,2004-06-29,9780345463104,0532.txt
533,William G. Crook,The Yeast Connection,Nonfiction,1986-09-12,9780394747002,0533.txt
534,Melissa Guion,Baby Penguins Everywhere!,Children’s Books,2012-12-06,9780399255359,0534.txt
535,"Rich Handley, Harry Lindfield, Jim Balkie, Mike Noble",Star Trek: The Classic UK Comics Volume 1,Humor,2016-04-26,9781631405129,0535.txt
536,John D. MacDonald,The Green Ripper,Fiction,2013-10-08,9780812984095,0536.txt
537,"Larry Tart, Robert Keefe",The Price of Vigilance,Nonfiction,2001-06-01,9780345450159,0537.txt
538,Lynn Altman,Brand It Yourself,Nonfiction,2006-11-16,9781440627323,0538.txt
539,Yukio Mishima,The Temple of Dawn,Fiction,1990-04-14,9780679722427,0539.txt
540,Eoin Colfer,WARP Book 1: The Reluctant Assassin,Teen & Young Adult,2013-05-07,9780804123365,0540.txt
541,David Petersen,Mouse Guard,Fiction,2008-03-25,9780345496867,0541.txt
542,"Niki Foreman, DK",DK Readers L1: Deadly Dinosaurs,Children’s Books,2014-01-06,9781465417206,0542.txt
543,Martin Walker,The Resistance Man,Fiction,2015-01-06,9780345804808,0543.txt
544,Bob Graham,The Silver Button,Children’s Books,2018-02-28,9781536201444,0544.txt
545,Monica Kulling,It's a Snap!,Children’s Books,2013-08-06,9781770495135,0545.txt
546,Anna Quindlen,Blessings,Fiction,2003-08-19,9780812969818,0546.txt
547,Nick Hornby,Funny Girl,Fiction,2016-02-02,9781101983355,0547.txt
548,Timothy Truman,Conan Omnibus Volume 3: Ancient Gods and Sorcerers,Fiction,2017-08-15,9781630089313,0548.txt
549,"Carly de Castro, Hedi Gores, Hayden Slater",Juice,Nonfiction,2014-07-22,9781607746270,0549.txt
550,James F. Thompson,The Cubicle Survival Guide,Humor,2007-02-27,9780812976762,0550.txt
551,Kenn Miller,"Six Silent Men, Book Two",Nonfiction,1997-03-30,9780804115643,0551.txt
552,Harry A. Wilmer,Closeness in Personal and Professional Relationships,Nonfiction,2001-05-01,9781570626388,0552.txt
553,Gladys Hunt,Hebrews,Nonfiction,2000-03-07,9780877883388,0553.txt
554,William Faulkner,A Rose for Emily and Other Stories,Fiction,2012-04-18,9780307799692,0554.txt
555,John Woodward,Horses,Children’s Books,2014-01-06,9781465418500,0555.txt
556,Peggy Blair,The Poisoned Pawn,Fiction,2013-02-05,9780143179993,0556.txt
557,Eva Wong,"Tao of Health, Longevity, and Immortality",Nonfiction,2000-12-05,9781570627255,0557.txt
558,Will Panzo,The Burning Isle,Fiction,2016-11-01,9781101988107,0558.txt
559,Erin McCarthy,Hot Finish,Fiction,2010-08-03,9780425235942,0559.txt
560,Joan Mccarthy,Dennett and Ricoeur on the Narrative Self,Nonfiction,2007-07-17,9781591025481,0560.txt
561,Zig Ziglar,Zig,Nonfiction,2004-02-17,9780385502979,0561.txt
562,Margaret Atwood,The Handmaid's Tale,Fiction,2006-10-17,9780307264602,0562.txt
563,Selene Yeager,The Bicycling Big Book of Cycling for Women,Nonfiction,2015-09-15,9781623364861,0563.txt
564,Flora Fraser,Beloved Emma,Nonfiction,2004-02-10,9781400075140,0564.txt
565,Jan-Philipp Sendker,A Well-tempered Heart,Fiction,2014-01-21,9781590516409,0565.txt
566,Sandy Boucher,Dancing in the Dharma,Nonfiction,2006-06-01,9780807073193,0566.txt
567,Gay Hendricks,Conscious Breathing,Nonfiction,2010-01-13,9780307573070,0567.txt
568,"Kathleen B. Hass, Don J. Wessels, Kevin Brennan",Getting It Right,Nonfiction,2007-10-01,9781567262117,0568.txt
